file,environment,trial_type,n_trials,channel,beta_power,frontal_asymmetry,aperiodic_exponent,aperiodic_offset,central_freq
31730_processed.fif,preshort,leave,1,C4,6.862305271248509e-14,1.3972640463456507,0.9443660782908466,-12.425331725362813,40.196401862626054
31730_processed.fif,preshort,leave,1,A1,5.2191503919588344e-14,1.3972640463456507,1.1620357688682326,-12.513920406053721,15.724568902657488
31730_processed.fif,preshort,leave,1,T3,1.478025563506299e-13,1.3972640463456507,1.510249811497081,-11.817349046256059,22.836101004576577
31730_processed.fif,preshort,leave,1,O1,2.568614278676706e-13,1.3972640463456507,0.8977645615185125,-12.282396625346085,14.356453187377346
31730_processed.fif,preshort,leave,1,T5,1.8054215036803015e-13,1.3972640463456507,1.6482821048834229,-11.472386749288384,14.351856574964383
31730_processed.fif,preshort,leave,1,O2,1.0691041945435697e-13,1.3972640463456507,1.8756277519655504,-11.291391515059553,44.20083579167734
31730_processed.fif,preshort,leave,1,F8,1.5207299569604159e-13,1.3972640463456507,1.5423854739838614,-11.644921544751215,44.39606915088845
31730_processed.fif,preshort,leave,1,T6,7.426461055260414e-14,1.3972640463456507,2.3957972089705635,-10.598823478960117,42.556230758125324
31730_processed.fif,preshort,leave,1,FZ,2.1051155412923926e-13,1.3972640463456507,0.824362265395124,-12.477381197602082,22.892346443275358
31730_processed.fif,preshort,leave,1,FP2,2.0321503235751444e-13,1.3972640463456507,1.257077879866893,-11.74713710637765,48.257645828065755
31730_processed.fif,preshort,leave,1,F7,1.5262357816918773e-13,1.3972640463456507,1.0273681002881196,-12.074771152302228,47.41796354394593
31730_processed.fif,preshort,leave,1,FP1,2.6571784711342726e-13,1.3972640463456507,1.4597063386746503,-11.121402351075572,44.56103813213345
31730_processed.fif,preshort,leave,1,CZ,6.282131694738396e-14,1.3972640463456507,0.636334192978949,-12.896455149744122,18.656596302319826
31730_processed.fif,preshort,leave,1,F3,1.804973058626983e-12,1.3972640463456507,0.9722392653049516,-11.566141752718911,20.614216688425046
31730_processed.fif,preshort,leave,1,F4,1.944766485011248e-13,1.3972640463456507,1.3999170832930135,-11.679951641979077,31.48153747081637
31730_processed.fif,preshort,leave,1,FCz,9.071515215210647e-14,1.3972640463456507,1.433654848499911,-11.944768950228802,18.957283057491438
31730_processed.fif,preshort,leave,1,T4,1.507951232259232e-13,0.6688287369949819,2.1153121311322716,-10.730942336952713,25.225902666301536
31730_processed.fif,preshort,leave,1,A2,3.8460374720579355e-14,0.6688287369949819,1.430057638649885,-12.258167982984435,18.30597792633619
31730_processed.fif,preshort,leave,1,C3,6.654580553728276e-14,0.6688287369949819,1.2275293248306858,-12.305298614990194,2.7478854042993857
31730_processed.fif,preshort,leave,1,C4,7.498950490595363e-14,0.6688287369949819,2.1678512886093526,-11.028416878502316,39.494376184173376
31730_processed.fif,preshort,leave,1,A1,1.833752304786995e-14,0.6688287369949819,1.6623493655288297,-12.134214748832045,5.446929059791711
31730_processed.fif,preshort,leave,1,T3,8.732062167426062e-14,0.6688287369949819,0.8444102016265467,-12.510308779899496,2.8551564383504746
31730_processed.fif,preshort,leave,1,O1,2.0543561159870642e-13,0.6688287369949819,1.681411966134271,-11.418531029761366,18.481797097843415
31730_processed.fif,preshort,leave,1,T5,8.198099737095044e-14,0.6688287369949819,1.208987126435109,-12.151000322532296,2.9660054655686445
31730_processed.fif,preshort,leave,1,O2,2.0850571182165347e-13,0.6688287369949819,1.9146258059706138,-10.987815553827769,17.95218069621438
31730_processed.fif,preshort,leave,1,F8,1.4083906284070872e-13,0.6688287369949819,2.2043806823189924,-10.564236217090777,42.58907378860384
31730_processed.fif,preshort,leave,1,T6,9.329837565939135e-14,0.6688287369949819,2.295874051805654,-10.445271026678382,43.11488961441656
31730_processed.fif,preshort,leave,1,FZ,2.8395661333845105e-13,0.6688287369949819,1.4314739507969754,-11.452449941208997,14.954418267165897
31730_processed.fif,preshort,leave,1,FP2,3.7126696878491083e-13,0.6688287369949819,1.9855653008943939,-10.283913639633802,42.55332306811594
31730_processed.fif,preshort,leave,1,F7,1.181206817346592e-13,0.6688287369949819,1.6623671964683246,-11.44555476912071,32.64044839947023
31730_processed.fif,preshort,leave,1,FP1,2.572261235386618e-13,0.6688287369949819,2.263302936039455,-9.870345403798535,46.78366773704813
31730_processed.fif,preshort,leave,1,CZ,6.552846280350736e-14,0.6688287369949819,1.9673028568158386,-11.19492764490759,39.26515935059323
31730_processed.fif,preshort,leave,1,F3,1.0271083065453438e-12,0.6688287369949819,1.464270332589583,-10.75144409031677,30.40266581617096
31730_processed.fif,preshort,leave,1,F4,2.0638332641716893e-13,0.6688287369949819,0.6999090806533201,-12.565842688279579,4.899478380109039
31730_processed.fif,preshort,leave,1,FCz,7.751411936565695e-14,0.6688287369949819,1.550398446251067,-11.62599231370962,39.329248854262005
31730_processed.fif,preshort,leave,1,T4,7.386816832501107e-14,1.0801772038367652,0.7219180353878304,-12.844795059136718,15.33488851552171
31730_processed.fif,preshort,leave,1,A2,2.3196521968223685e-14,1.0801772038367652,1.324897331639023,-12.31384515595266,39.985937404496504
31730_processed.fif,preshort,leave,1,C3,4.8592012946687153e-14,1.0801772038367652,1.2041370530034357,-12.657884755303668,28.72752211228886
31730_processed.fif,preshort,leave,1,C4,7.050564167752682e-14,1.0801772038367652,0.8374506071283896,-12.746640312012163,19.73606355693444
31730_processed.fif,preshort,leave,1,A1,2.7255311009492948e-14,1.0801772038367652,1.5096065435546502,-12.084374004270376,11.141228956556017
31730_processed.fif,preshort,leave,1,T3,8.516363281675e-14,1.0801772038367652,0.7623871845579178,-12.579029293064352,11.223003993473741
31730_processed.fif,preshort,leave,1,O1,1.9285177287956874e-13,1.0801772038367652,1.2073657647497626,-12.071193896588188,15.77643233799807
