file,patch_number,block,patch_position,channel,beta_power,aperiodic_offset,aperiodic_exponent,central_freq
31730_processed.fif,2,pre-stress,mid,FP1,1.4836908203716813e-13,-12.524635236007112,0.7656279319497831,20.437914927280083
31730_processed.fif,2,pre-stress,mid,CZ,4.553523824571438e-14,-11.715475601023229,1.7261382110535244,35.79728580769514
31730_processed.fif,2,pre-stress,mid,F3,1.0745043870002167e-12,-11.296982085298358,1.1696718946313363,27.2051948974275
31730_processed.fif,2,pre-stress,mid,F4,2.2375172556095265e-13,-11.279043889169346,1.5731773287712432,15.43009000707279
31730_processed.fif,2,pre-stress,mid,FCz,5.941028920828514e-14,-12.029065144015702,1.335182992668215,32.08584723464089
31730_processed.fif,2,pre-stress,late,T4,1.3688515623023889e-13,-12.46011060653376,0.816199301881281,8.920143804303338
31730_processed.fif,2,pre-stress,late,A2,4.217629041573724e-14,-12.167167049466196,1.5288458834796488,17.22743416950573
31730_processed.fif,2,pre-stress,late,C3,5.275091946793903e-14,-12.753556123136969,0.8989916198426084,15.127569832226632
31730_processed.fif,2,pre-stress,late,C4,6.227561861638453e-14,-13.010498166697884,0.6646589997636606,12.634861708451856
31730_processed.fif,2,pre-stress,late,A1,3.7472707480298015e-14,-12.209462212278202,1.515430047907806,11.563412166228352
31730_processed.fif,2,pre-stress,late,T3,1.2084041898789064e-13,-12.599791233745172,0.796269627172108,11.920469947454214
31730_processed.fif,2,pre-stress,late,O1,1.7234742027412548e-13,-11.962694095501163,1.2367088856424495,22.865044524866303
31730_processed.fif,2,pre-stress,late,T5,1.2450660127829507e-13,-12.498425786143935,0.868459148831962,24.949112913361684
31730_processed.fif,2,pre-stress,late,O2,1.716423346063139e-13,-11.811367059715712,1.440271777906024,12.791831667085217
31730_processed.fif,2,pre-stress,late,F8,1.8154250729637758e-13,-11.792378143122745,1.3456336714756747,13.195459157054579
31730_processed.fif,2,pre-stress,late,T6,1.178543388467919e-13,-11.676364649738801,1.4147087574026258,35.76347166023342
31730_processed.fif,2,pre-stress,late,FZ,2.60632762956823e-13,-11.660040803974885,1.4802612850230574,20.106096134529192
31730_processed.fif,2,pre-stress,late,FP2,3.1440139369019455e-13,-12.175931490897637,0.7998329404247041,29.84320731219479
31730_processed.fif,2,pre-stress,late,F7,1.3945754788964132e-13,-12.081083908884375,1.041569850274653,29.7240573864884
31730_processed.fif,2,pre-stress,late,FP1,1.6997246583260874e-13,-12.25516796071228,0.9212723868333783,25.588274589758907
31730_processed.fif,2,pre-stress,late,CZ,4.9492341588681254e-14,-12.04112676768604,1.4878066558426661,15.10484331128452
31730_processed.fif,2,pre-stress,late,F3,1.0627431276806783e-12,-11.23436499818994,1.2247672057359023,24.590104133715897
31730_processed.fif,2,pre-stress,late,F4,2.47800853207612e-13,-11.472369168687655,1.3766097670859925,20.91827058242961
31730_processed.fif,2,pre-stress,late,FCz,4.974759701921754e-14,-12.415084415997308,1.1173896809545536,14.02367620948209
31730_processed.fif,2,pre-stress,leave,T4,8.905404209079012e-14,-12.411743093810081,0.9001127321606641,16.064273094972737
31730_processed.fif,2,pre-stress,leave,A2,2.881534428661404e-14,-12.349980668198253,1.430404720013687,3.456172907958895
31730_processed.fif,2,pre-stress,leave,C3,3.883228676976587e-14,-13.514290968011002,0.3500662847441268,3.1046968049587425
31730_processed.fif,2,pre-stress,leave,C4,7.942203528762368e-14,-11.514420230983491,1.6849368370091282,38.04292983979002
31730_processed.fif,2,pre-stress,leave,A1,2.6176506427152308e-14,-12.267635488404688,1.3187835641246544,8.999513518122267
31730_processed.fif,2,pre-stress,leave,T3,1.1757127703141026e-13,-12.398793679089845,0.8842393604704938,10.618128642442928
31730_processed.fif,2,pre-stress,leave,O1,2.064374370261149e-13,-12.718909400867192,0.7021540242689779,15.148016986407407
